num_links,num_images,num_iframes,num_forms,num_inputs,num_buttons,num_scripts,has_unescape,num_styles,css_external_links,num_hidden_elements,label
1,1,0,1,12,1,10,0,0,3,0,1
7,0,0,2,3,1,8,0,2,3,0,1
3,2,0,1,3,0,5,1,0,0,0,1
74,70,0,0,0,1,1,0,0,1,0,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
5,3,0,0,0,3,7,0,0,4,0,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
13,4,0,3,10,7,14,0,5,3,0,1
6,3,0,1,7,0,6,0,0,3,2,1
5,3,1,1,10,1,15,0,1,4,1,1
4,5,0,0,0,0,4,0,2,0,0,1
3,4,0,0,0,1,9,0,0,5,0,1
14,3,0,1,5,2,11,0,0,1,0,1
6,1,0,1,4,1,0,0,3,0,0,1
7,4,2,2,26,4,9,0,2,1,8,1
97,5,0,0,0,0,2,0,0,6,0,1
0,64,2,0,0,0,15,1,4,2,2,1
124,20,0,1,13,20,3,0,1,1,3,1
6,2,0,1,12,3,53,0,3,1,5,1
22,2,0,1,4,3,6,0,8,8,1,1
91,30,0,1,1,18,2,0,42,3,9,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
28,16,1,0,0,0,8,0,0,4,1,1
29,3,0,1,5,0,0,0,0,0,0,1
4,6,0,0,0,1,1,0,2,1,0,1
2,1,0,0,1,1,3,0,1,4,1,1
15,0,0,1,2,1,6,0,3,4,3,1
0,64,2,0,0,0,15,1,4,2,2,1
17,8,4,1,31,0,5,0,1,1,4,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
64,38,0,2,5,6,15,0,4,1,1,1
5,4,0,1,7,2,5,0,0,2,0,1
91,29,0,1,1,19,1,0,42,3,6,1
107,22,0,1,5,5,6,0,1,7,4,1
9,2,0,1,6,6,0,0,1,0,3,1
57,3,0,2,7,0,0,0,0,1,3,1
9,4,0,0,0,4,1,0,1,0,3,1
15,5,0,1,4,0,0,0,1,0,2,1
6,5,0,0,0,0,4,0,2,0,0,1
0,64,2,0,0,0,15,1,4,2,2,1
1,1,0,1,5,0,3,0,1,0,3,1
5,3,1,2,22,0,2,0,2,0,5,1
6,1,0,1,4,1,0,0,3,0,0,1
6,2,1,0,0,0,2,0,1,0,0,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
3,1,0,1,4,0,7,0,2,1,3,1
8,10,0,0,3,0,2,0,1,0,0,1
124,1,1,1,14,21,14,0,1,6,1,1
84,18,0,19,49,18,3,0,0,1,0,1
94,0,0,0,0,3,15,0,2,3,3,1
1,5,0,0,2,2,7,0,1,1,5,1
69,9,0,3,8,0,21,0,7,6,2,1
31,0,0,0,0,0,0,0,1,0,0,1
0,64,2,0,0,0,15,1,4,2,2,1
3,1,0,0,0,0,0,0,1,0,0,1
163,21,0,9,25,2,23,0,2,12,3,1
9,8,0,0,2,2,3,0,1,1,6,1
4,5,0,0,0,1,1,0,2,1,0,1
10,2,0,0,4,0,21,0,1,4,2,1
0,0,3,1,8,6,9,0,5,2,2,1
95,42,0,0,1,2,14,0,2,3,2,1
4,1,0,1,23,0,6,0,2,2,1,1
0,0,0,1,3,0,3,1,1,0,0,1
14,1,0,0,0,0,7,0,3,4,1,1
