num_links,num_images,num_iframes,num_forms,num_inputs,num_buttons,num_scripts,has_unescape,num_styles,css_external_links,num_hidden_elements,label,complexity_score,category
163,21,0,9,27,2,23,0,2,12,3,1,0.003501327545926446,Hard
0,1,0,0,0,0,0,0,0,0,0,1,0.0,Simple
0,1,0,0,0,0,0,0,0,0,0,1,0.0,Simple
241,99,0,3,7,0,7,0,1,13,7,1,0.0016864147341240088,Medium
0,1,0,0,0,0,0,0,0,0,0,1,0.0,Simple
0,0,0,0,0,0,4,0,1,1,0,1,0.0005169780435311768,Simple
0,1,0,0,0,0,0,0,0,0,0,1,0.0,Simple
9,2,0,1,3,1,0,0,3,0,0,1,2.9192234114108065e-05,Simple
1,0,0,1,2,1,2,0,1,1,0,1,0.0002617326033338226,Simple
0,0,0,0,0,0,0,0,0,0,0,1,0.0,Simple
54,9,7,3,19,15,84,0,59,22,28,1,0.01103169231883936,Hard
6,1,0,1,4,1,0,0,3,0,0,1,1.946148940940538e-05,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
3,1,0,1,4,1,15,0,1,3,0,1,0.0019483984079466156,Medium
7,2,0,1,2,2,8,0,1,3,3,1,0.0010566611580399932,Medium
177,41,1,5,16,39,142,0,9,34,10,1,0.018926834482934234,Hard
3,5,0,1,2,3,8,0,3,3,0,1,0.0010436868317670563,Medium
2,2,0,1,2,1,1,0,1,0,1,1,0.00013573167401926265,Simple
3,1,0,0,0,0,0,0,1,0,0,1,9.73074470470269e-06,Simple
21,7,7,2,15,3,21,0,0,5,5,1,0.002782249941471597,Hard
2,14,0,2,6,11,7,0,0,6,6,1,0.0009111987393160278,Medium
7,2,0,1,14,0,10,0,18,0,0,1,0.0013151501798055816,Medium
569,212,10,0,9,1,137,1,7,3,27,1,0.01955209590326808,Hard
7,4,0,1,10,1,55,0,20,2,8,1,0.007131153169531321,Hard
7,1,5,2,2,2,16,0,5,1,4,1,0.0020906172451023467,Medium
35,2,9,2,7,3,48,0,15,2,10,1,0.0063172618772623194,Hard
3,0,0,0,0,0,1,0,1,0,0,1,0.0001389752555874969,Simple
5,3,0,1,2,2,8,0,2,2,5,1,0.0010501739949035247,Medium
28,4,0,1,5,7,7,0,3,5,3,1,0.0009955318600901179,Medium
0,0,0,0,0,0,0,0,1,0,0,1,0.0,Simple
6,8,0,1,2,3,8,0,3,3,0,1,0.0010534175764717589,Medium
16,7,0,1,14,10,6,0,14,21,10,1,0.0008273643703885127,Medium
1,4,0,1,2,2,2,0,0,6,2,1,0.0002617326033338226,Simple
42,8,1,0,3,5,1,0,2,0,0,1,0.0002654749367486318,Simple
29,1,0,2,6,4,5,0,1,4,5,1,0.0007402864198927637,Medium
7,3,0,1,23,0,1,0,1,1,2,1,0.0001519495818604338,Simple
29,1,0,2,6,4,5,0,1,4,5,1,0.0007402864198927637,Medium
7,0,0,1,2,1,0,0,0,1,0,1,2.270507097763961e-05,Simple
5,3,1,1,4,2,5,0,0,2,1,1,0.0006624404622551422,Medium
2,2,1,1,3,1,23,0,83,1,0,1,0.002979110913440735,Hard
3,1,0,1,3,2,4,0,0,2,0,1,0.0005267087882358794,Simple
9,1,0,1,18,5,3,0,3,2,2,1,0.00041692576676249064,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,0,0,0,0,0,1,0,0,0,0,1,0.0001292445108827942,Simple
8,2,0,2,22,4,7,0,1,2,5,1,0.0009306602287254332,Medium
2,94,0,2,6,87,8,0,0,6,8,1,0.001040443250198822,Medium
6,1,0,0,2,1,4,0,2,3,0,1,0.0005364395329405822,Simple
8,1,0,1,2,1,0,0,2,2,2,1,2.594865254587384e-05,Simple
3,3,0,1,3,24,7,0,1,4,1,1,0.000914442320884262,Medium
0,0,0,0,0,0,4,0,1,1,0,1,0.0005169780435311768,Simple
3,0,0,0,0,0,1,0,1,0,0,1,0.0001389752555874969,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,0,0,0,0,0,0,0,0,0,0,1,0.0,Simple
1,0,0,0,0,0,1,0,0,0,0,1,0.00013248809245102844,Simple
1,0,0,0,0,0,1,0,0,0,0,1,0.00013248809245102844,Simple
1,0,0,0,0,0,1,0,0,0,0,1,0.00013248809245102844,Simple
147,2,0,4,16,0,5,0,6,5,6,1,0.0011230290449444028,Medium
